epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.951,1.51179,1.6429,1.79128,0.66681,0.65882,0.6781,0.41871,1.69796,1.49984,2.11408,0.0673695,0.000665928,0.000665928
2,359.553,1.39886,1.35416,1.72183,0.77605,0.73595,0.7778,0.53276,1.30686,1.23325,1.69524,0.0347028,0.00133251,0.00133251
3,529.827,1.3132,1.20155,1.65364,0.81624,0.78505,0.83849,0.57566,1.33933,1.03981,1.6642,0.00203572,0.00199877,0.00199877
4,697.959,1.24068,1.08861,1.59134,0.84756,0.78514,0.85133,0.63481,1.1801,0.91775,1.55289,0.00199889,0.00199889,0.00199889
5,867.158,1.18711,1.01723,1.5509,0.84837,0.83014,0.88242,0.6564,1.14273,0.86167,1.50439,0.00199803,0.00199803,0.00199803
6,1038.29,1.15424,0.96462,1.51281,0.90268,0.83526,0.90003,0.6805,1.21104,0.8329,1.56099,0.00199692,0.00199692,0.00199692
7,1208.27,1.11848,0.92802,1.48895,0.83912,0.85309,0.89739,0.71105,1.05659,0.76343,1.45465,0.00199557,0.00199557,0.00199557
8,1378.74,1.09859,0.90365,1.47308,0.87285,0.85583,0.89757,0.68589,1.13054,0.76486,1.49909,0.00199397,0.00199397,0.00199397
9,1548.3,1.06943,0.87054,1.4492,0.87755,0.85183,0.89187,0.68621,1.12572,0.79116,1.50008,0.00199212,0.00199212,0.00199212
10,1717.08,1.04767,0.83587,1.42595,0.88986,0.86827,0.89772,0.71987,1.06893,0.71168,1.4582,0.00199003,0.00199003,0.00199003
11,1885.61,1.03512,0.82396,1.42068,0.88892,0.86503,0.90665,0.71161,1.11688,0.7217,1.50002,0.0019877,0.0019877,0.0019877
12,2066.13,1.01723,0.80838,1.40344,0.91146,0.85125,0.90497,0.72241,1.18193,0.7851,1.60278,0.00198512,0.00198512,0.00198512
13,2252.34,1.00039,0.79369,1.39011,0.91361,0.875,0.91256,0.73861,1.00097,0.67529,1.39786,0.0019823,0.0019823,0.0019823
14,2430.31,0.99132,0.77184,1.37635,0.89276,0.86948,0.91499,0.72447,1.07711,0.71388,1.47892,0.00197924,0.00197924,0.00197924
15,2607.31,0.97873,0.76532,1.36948,0.89235,0.88546,0.91586,0.7448,1.00191,0.70394,1.37639,0.00197594,0.00197594,0.00197594
16,2780.34,0.96987,0.75357,1.36466,0.92521,0.87412,0.9174,0.74245,1.0022,0.6628,1.37644,0.0019724,0.0019724,0.0019724
17,2959.76,0.95221,0.74173,1.35012,0.93441,0.86909,0.91661,0.75227,1.01248,0.69849,1.40187,0.00196861,0.00196861,0.00196861
18,3138.91,0.94628,0.72917,1.34558,0.90322,0.8857,0.91448,0.755,0.97994,0.64996,1.38948,0.00196459,0.00196459,0.00196459
19,3318.07,0.94097,0.72017,1.33918,0.92909,0.8617,0.9152,0.75784,0.9414,0.64124,1.33652,0.00196033,0.00196033,0.00196033
20,3496.84,0.9187,0.69859,1.31646,0.92081,0.87503,0.91303,0.76246,0.92756,0.6598,1.3301,0.00195584,0.00195584,0.00195584
21,3670.64,0.91134,0.69591,1.31693,0.92904,0.86362,0.91732,0.75813,0.99485,0.65059,1.37528,0.00195111,0.00195111,0.00195111
22,3838.6,0.91736,0.69738,1.32171,0.91864,0.87164,0.91646,0.7368,0.97215,0.62664,1.35859,0.00194614,0.00194614,0.00194614
23,4008.25,0.89761,0.6748,1.30076,0.91376,0.89115,0.92166,0.77322,0.8866,0.62393,1.30331,0.00194094,0.00194094,0.00194094
24,4188.38,0.89391,0.67344,1.30011,0.92894,0.88764,0.92222,0.78089,0.90554,0.61651,1.3394,0.00193551,0.00193551,0.00193551
25,4368.43,0.89152,0.67496,1.30255,0.93091,0.88037,0.92207,0.76783,0.91161,0.6166,1.32899,0.00192985,0.00192985,0.00192985
26,4545.72,0.88712,0.6694,1.29739,0.9392,0.87533,0.92201,0.75561,0.9341,0.6031,1.3213,0.00192396,0.00192396,0.00192396
27,4721.49,0.88476,0.67316,1.29672,0.89622,0.89421,0.9232,0.76634,0.93073,0.59439,1.32473,0.00191784,0.00191784,0.00191784
28,4896.43,0.87662,0.65259,1.2869,0.91311,0.89745,0.92855,0.77084,0.90166,0.57838,1.30786,0.00191149,0.00191149,0.00191149
29,5069.52,0.87593,0.65119,1.28817,0.92066,0.8859,0.91792,0.76718,0.91428,0.62821,1.33094,0.00190492,0.00190492,0.00190492
30,5239.45,0.86907,0.64952,1.28108,0.93171,0.87503,0.91536,0.74794,0.96466,0.61809,1.33703,0.00189813,0.00189813,0.00189813
31,5407.68,0.86241,0.64898,1.27881,0.9357,0.8865,0.92574,0.76138,0.92259,0.58834,1.33737,0.00189112,0.00189112,0.00189112
32,5575.93,0.84779,0.63377,1.26698,0.92067,0.90194,0.91838,0.74683,0.96303,0.60092,1.36826,0.00188388,0.00188388,0.00188388
33,5743.88,0.84501,0.6284,1.26327,0.92463,0.88836,0.92197,0.77801,0.85986,0.57991,1.28194,0.00187643,0.00187643,0.00187643
34,5911.89,0.84005,0.62458,1.26194,0.92438,0.88474,0.92366,0.7657,0.91701,0.59956,1.3137,0.00186876,0.00186876,0.00186876
35,6079.92,0.84116,0.61309,1.25784,0.93231,0.88926,0.92406,0.76712,0.91367,0.59277,1.33426,0.00186088,0.00186088,0.00186088
36,6247.94,0.83188,0.61481,1.25661,0.93259,0.88299,0.9294,0.77447,0.90323,0.59726,1.31104,0.00185279,0.00185279,0.00185279
37,6416.11,0.82819,0.60531,1.24817,0.92264,0.90342,0.92646,0.75923,0.92792,0.58156,1.3127,0.00184448,0.00184448,0.00184448
38,6584.22,0.83626,0.60922,1.25333,0.92251,0.89772,0.9253,0.78589,0.85353,0.56956,1.2806,0.00183597,0.00183597,0.00183597
39,6752.41,0.81871,0.59538,1.23813,0.91177,0.90368,0.92638,0.78408,0.86849,0.57639,1.29038,0.00182725,0.00182725,0.00182725
40,6920.55,0.81268,0.59861,1.23648,0.93591,0.89339,0.92701,0.78459,0.89683,0.57753,1.32665,0.00181833,0.00181833,0.00181833
41,7088.8,0.81315,0.5948,1.23957,0.93797,0.89195,0.92836,0.78562,0.8459,0.55456,1.26667,0.00180921,0.00180921,0.00180921
42,7257.17,0.81979,0.59805,1.24058,0.94322,0.89796,0.93638,0.79552,0.82597,0.54925,1.24668,0.00179988,0.00179988,0.00179988
43,7425.53,0.81235,0.59196,1.23818,0.9287,0.89831,0.92978,0.79481,0.81543,0.5546,1.2402,0.00179036,0.00179036,0.00179036
44,7593.93,0.80199,0.58779,1.23082,0.92443,0.89274,0.93077,0.78435,0.8549,0.57469,1.28177,0.00178065,0.00178065,0.00178065
45,7762,0.79981,0.57937,1.22886,0.92779,0.90327,0.93621,0.78529,0.85386,0.58266,1.28531,0.00177074,0.00177074,0.00177074
46,7930.1,0.79949,0.57888,1.22306,0.92572,0.90541,0.9326,0.7964,0.85307,0.55593,1.27658,0.00176065,0.00176065,0.00176065
47,8098.44,0.79302,0.57847,1.2203,0.9256,0.90372,0.93133,0.80275,0.8228,0.55047,1.24984,0.00175036,0.00175036,0.00175036
48,8266.74,0.787,0.56928,1.212,0.94799,0.87852,0.92806,0.79308,0.8448,0.54422,1.26496,0.00173989,0.00173989,0.00173989
49,8434.95,0.79596,0.58072,1.22352,0.92346,0.90352,0.9334,0.7984,0.84083,0.54892,1.27443,0.00172924,0.00172924,0.00172924
50,8603.24,0.78659,0.56476,1.20607,0.92805,0.89888,0.93115,0.79669,0.82733,0.55264,1.25452,0.00171841,0.00171841,0.00171841
51,8771.43,0.7757,0.55605,1.2037,0.94912,0.88794,0.93399,0.7989,0.84434,0.53327,1.28416,0.0017074,0.0017074,0.0017074
52,8939.82,0.77467,0.55292,1.20658,0.95032,0.89268,0.92919,0.80242,0.82298,0.57275,1.26181,0.00169622,0.00169622,0.00169622
53,9108.1,0.78003,0.56418,1.20944,0.94128,0.89458,0.92796,0.80195,0.82736,0.56093,1.27217,0.00168486,0.00168486,0.00168486
54,9276.49,0.76715,0.55215,1.20182,0.9415,0.89113,0.92514,0.79275,0.85055,0.57123,1.28655,0.00167334,0.00167334,0.00167334
55,9444.75,0.77198,0.55084,1.1989,0.93398,0.90362,0.9295,0.79764,0.84465,0.56128,1.26974,0.00166165,0.00166165,0.00166165
56,9612.99,0.76612,0.5473,1.19806,0.93474,0.90214,0.9291,0.79846,0.83531,0.54902,1.26209,0.0016498,0.0016498,0.0016498
57,9781.34,0.76187,0.54456,1.19134,0.93173,0.90204,0.92824,0.80653,0.8231,0.56403,1.26119,0.00163779,0.00163779,0.00163779
